IdDate,Date,Month,Year,Trimester,DayOfWeek
20120427,27/4/2012,abril,2012,2,viernes
20120428,28/4/2012,abril,2012,2,sábado
20120429,29/4/2012,abril,2012,2,domingo
20120430,30/4/2012,abril,2012,2,lunes
20120501,1/5/2012,mayo,2012,2,martes
20120502,2/5/2012,mayo,2012,2,miércoles
20120503,3/5/2012,mayo,2012,2,jueves
20120504,4/5/2012,mayo,2012,2,viernes
20120505,5/5/2012,mayo,2012,2,sábado
20120506,6/5/2012,mayo,2012,2,domingo
20120507,7/5/2012,mayo,2012,2,lunes
20120508,8/5/2012,mayo,2012,2,martes
20120509,9/5/2012,mayo,2012,2,miércoles
20120510,10/5/2012,mayo,2012,2,jueves
20120511,11/5/2012,mayo,2012,2,viernes
20120512,12/5/2012,mayo,2012,2,sábado
20120513,13/5/2012,mayo,2012,2,domingo
20120514,14/5/2012,mayo,2012,2,lunes
20120515,15/5/2012,mayo,2012,2,martes
20120516,16/5/2012,mayo,2012,2,miércoles
20120517,17/5/2012,mayo,2012,2,jueves
20120518,18/5/2012,mayo,2012,2,viernes
20120519,19/5/2012,mayo,2012,2,sábado
20120520,20/5/2012,mayo,2012,2,domingo
20120521,21/5/2012,mayo,2012,2,lunes
20120522,22/5/2012,mayo,2012,2,martes
20120523,23/5/2012,mayo,2012,2,miércoles
20120524,24/5/2012,mayo,2012,2,jueves
20120525,25/5/2012,mayo,2012,2,viernes
20120526,26/5/2012,mayo,2012,2,sábado
20120527,27/5/2012,mayo,2012,2,domingo
20120528,28/5/2012,mayo,2012,2,lunes
20120529,29/5/2012,mayo,2012,2,martes
20120530,30/5/2012,mayo,2012,2,miércoles
20120531,31/5/2012,mayo,2012,2,jueves
20120601,1/6/2012,junio,2012,2,viernes
20120602,2/6/2012,junio,2012,2,sábado
20120603,3/6/2012,junio,2012,2,domingo
20120604,4/6/2012,junio,2012,2,lunes
20120605,5/6/2012,junio,2012,2,martes
20120606,6/6/2012,junio,2012,2,miércoles
20120607,7/6/2012,junio,2012,2,jueves
